codec,round,input_bytes,archive_bytes,pack_seconds,extract_seconds,random_prefix_seconds,random_prefix_count,heap_pool_peak_sum_bytes,scratch_limit_bytes
STORED,1,16777216,16777484,0.034413200,0.024515900,0.001689500,64,44407008,67108864
STORED,2,16777216,16777484,0.032769700,0.024790500,0.001057300,64,47552736,67108864
STORED,3,16777216,16777484,0.040572100,0.021171800,0.001156500,64,49649888,67108864
ZLIB,1,16777216,8399716,0.202902300,0.037651300,0.001490400,64,15758560,67108864
ZLIB,2,16777216,8399716,0.205801400,0.035067600,0.001346800,64,24147168,67108864
ZLIB,3,16777216,8399716,0.212174000,0.037517900,0.001491700,64,32535776,67108864
