codec,round,input_bytes,archive_bytes,pack_seconds,extract_seconds,random_prefix_seconds,random_prefix_count,heap_pool_peak_sum_bytes,scratch_limit_bytes
STORED,1,16777216,16777484,0.037984100,0.030657200,0.001194400,64,46700568,67108864
STORED,2,16777216,16777484,0.034795100,0.025928900,0.001120400,64,55089176,67108864
STORED,3,16777216,16777484,0.028320300,0.027505700,0.001117100,64,55089176,67108864
ZLIB,1,16777216,8399716,0.206852700,0.042223400,0.002190300,64,71866392,67108864
ZLIB,2,16777216,8399716,0.230781200,0.041188400,0.001672600,64,80255000,67108864
ZLIB,3,16777216,8399716,0.204116200,0.043557500,0.001868900,64,88643608,67108864
