codec,round,input_bytes,archive_bytes,pack_seconds,extract_seconds,random_prefix_seconds,random_prefix_count,heap_pool_peak_sum_bytes,scratch_limit_bytes
STORED,1,16777216,16777484,0.033127800,0.034779100,0.000951400,64,96939768,67108864
STORED,2,16777216,16777484,0.040235800,0.031941600,0.001297700,64,96939768,67108864
STORED,3,16777216,16777484,0.031173200,0.034425200,0.001201700,64,96939768,67108864
ZLIB,1,16777216,8399716,0.213096400,0.049046900,0.002137200,64,113716984,67108864
ZLIB,2,16777216,8399716,0.220271100,0.050348300,0.001753800,64,122105592,67108864
ZLIB,3,16777216,8399716,0.212548600,0.043662700,0.001747700,64,130494200,67108864
