codec,round,input_bytes,archive_bytes,pack_seconds,extract_seconds,random_prefix_seconds,random_prefix_count,heap_pool_peak_sum_bytes,scratch_limit_bytes
STORED,1,16777216,16777484,0.045155100,0.035162900,0.001706300,64,155660024,67108864
STORED,2,16777216,16777484,0.035683400,0.034345000,0.001228200,64,164048632,67108864
STORED,3,16777216,16777484,0.039185500,0.030514400,0.001088600,64,164048632,67108864
ZLIB,1,16777216,8399716,0.210865400,0.045495500,0.001772800,64,180825848,67108864
ZLIB,2,16777216,8399716,0.217977300,0.044547300,0.001732400,64,189214456,67108864
ZLIB,3,16777216,8399716,0.213998500,0.046605200,0.001956900,64,197603064,67108864
