codec,round,input_bytes,archive_bytes,pack_seconds,extract_seconds,random_prefix_seconds,random_prefix_count,heap_pool_peak_sum_bytes,scratch_limit_bytes
STORED,1,16777216,16777484,0.033874800,0.024949600,0.001028200,64,44407008,67108864
STORED,2,16777216,16777484,0.034785700,0.023158900,0.001159100,64,47552736,67108864
STORED,3,16777216,16777484,0.032040800,0.021192000,0.001256200,64,49649888,67108864
ZLIB,1,16777216,8399716,0.211761300,0.036080100,0.001357500,64,15882464,67108864
ZLIB,2,16777216,8399716,0.214052900,0.034077100,0.001293600,64,24271072,67108864
ZLIB,3,16777216,8399716,0.210079700,0.034963400,0.001435000,64,32659680,67108864
