codec	corpus	decoded_bytes	stored_bytes	input_sha256	encoded_sha256	repetition	encode_ms	decode_ms	encode_mib_s	decode_mib_s	encode_max_checkpoint_gap_ms	decode_max_checkpoint_gap_ms	encode_native_credit_bytes	decode_native_credit_bytes	process_peak_working_set_bytes
lz4-frame	repeated-251	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	0	11.882	0.502	0.000	0.000	1.267	0.000	2293760	9633792	474877952
lz4-frame	repeated-251	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	1	0.125	0.061	0.000	0.000	0.027	0.000	2293760	9633792	474877952
lz4-frame	repeated-251	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	2	0.129	0.042	0.000	0.000	0.027	0.000	2293760	9633792	474877952
lz4-frame	random-seed43	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	0	0.115	0.040	0.000	0.000	0.025	0.000	2293760	9633792	474877952
lz4-frame	random-seed43	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	1	0.120	0.044	0.000	0.000	0.026	0.000	2293760	9633792	474877952
lz4-frame	random-seed43	0	15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff2d4fa25b032b9e88f09b73d8b58bf9b139945bbbe1735d10732636a36844be	2	0.208	0.046	0.000	0.000	0.065	0.000	2293760	9633792	474877952
lz4-frame	repeated-251	65536	544	4b640d85ab3ba30fd02c9fc9db4a8928f416322ad27022ea58a65aaee68a4df2	62e2f18514c3fb2b24e5799d872de66133d875761793cfdeed9540bb50a79af5	0	0.555	0.095	112.694	657.203	0.230	0.000	2293760	9633792	474877952
lz4-frame	repeated-251	65536	544	4b640d85ab3ba30fd02c9fc9db4a8928f416322ad27022ea58a65aaee68a4df2	62e2f18514c3fb2b24e5799d872de66133d875761793cfdeed9540bb50a79af5	1	0.180	0.159	346.452	392.095	0.032	0.000	2293760	9633792	474877952
lz4-frame	repeated-251	65536	544	4b640d85ab3ba30fd02c9fc9db4a8928f416322ad27022ea58a65aaee68a4df2	62e2f18514c3fb2b24e5799d872de66133d875761793cfdeed9540bb50a79af5	2	0.226	0.073	276.304	851.499	0.039	0.000	2293760	9633792	474877952
lz4-frame	random-seed43	65536	65563	f09e06ce081a2a3231bd1b66fbe3b1eb580fffbb81d2e761398edd889c013876	79e246e4e8bd296f429a5f0a2d1e7090b32bb7282cb5e54c3301e7b4c50d6805	0	0.959	0.096	65.172	649.688	0.809	0.052	2293760	9633792	474877952
lz4-frame	random-seed43	65536	65563	f09e06ce081a2a3231bd1b66fbe3b1eb580fffbb81d2e761398edd889c013876	79e246e4e8bd296f429a5f0a2d1e7090b32bb7282cb5e54c3301e7b4c50d6805	1	0.990	0.114	63.163	550.176	0.804	0.037	2293760	9633792	474877952
lz4-frame	random-seed43	65536	65563	f09e06ce081a2a3231bd1b66fbe3b1eb580fffbb81d2e761398edd889c013876	79e246e4e8bd296f429a5f0a2d1e7090b32bb7282cb5e54c3301e7b4c50d6805	2	1.030	0.093	60.709	672.766	0.832	0.045	2293760	9633792	474877952
lz4-frame	repeated-251	16777216	69394	287507f403176f1f5b22b9a4d9cb49f7d7f88ac19e406b5ae87ce109564846bd	a258317e013695b2fdc68e653bbe7fd5ee101217b6150439dd80e52938ad9244	0	255.324	5.921	62.665	2702.201	1.607	0.057	2293760	9633792	474877952
lz4-frame	repeated-251	16777216	69394	287507f403176f1f5b22b9a4d9cb49f7d7f88ac19e406b5ae87ce109564846bd	a258317e013695b2fdc68e653bbe7fd5ee101217b6150439dd80e52938ad9244	1	279.043	6.503	57.339	2460.365	2.405	0.058	2293760	9633792	474877952
lz4-frame	repeated-251	16777216	69394	287507f403176f1f5b22b9a4d9cb49f7d7f88ac19e406b5ae87ce109564846bd	a258317e013695b2fdc68e653bbe7fd5ee101217b6150439dd80e52938ad9244	2	254.142	10.844	62.957	1475.457	1.616	0.101	2293760	9633792	474877952
lz4-frame	random-seed43	16777216	16778263	cdf23856e1b8fc650944df7e0961b6626359a2bed487abd42881fb5aa0c24902	3437210c9c5c46578c212553fa91827ce70f586e57a7a924f78f837358073837	0	361.424	5.964	44.269	2682.853	2.373	0.084	2293760	9633792	475807744
lz4-frame	random-seed43	16777216	16778263	cdf23856e1b8fc650944df7e0961b6626359a2bed487abd42881fb5aa0c24902	3437210c9c5c46578c212553fa91827ce70f586e57a7a924f78f837358073837	1	345.474	9.764	46.313	1638.757	2.137	0.072	2293760	9633792	481107968
lz4-frame	random-seed43	16777216	16778263	cdf23856e1b8fc650944df7e0961b6626359a2bed487abd42881fb5aa0c24902	3437210c9c5c46578c212553fa91827ce70f586e57a7a924f78f837358073837	2	350.088	9.228	45.703	1733.835	2.040	0.063	2293760	9633792	519278592
lz4-frame	upstream-max4MB-random-seed44	16777216	16777243	41b57b2939102b1beaf4219680d0ae8803db3c5682edddad2599602933fcad23	997722e967397dd90721ebf6e39eb475624473f13adea67765ee54aae4b373db	0	0.000	3.777	0.000	4235.830	0.000	0.101	0	9633792	557711360
lz4-frame	upstream-max4MB-random-seed44	16777216	16777243	41b57b2939102b1beaf4219680d0ae8803db3c5682edddad2599602933fcad23	997722e967397dd90721ebf6e39eb475624473f13adea67765ee54aae4b373db	1	0.000	3.701	0.000	4323.273	0.000	0.080	0	9633792	557772800
lz4-frame	upstream-max4MB-random-seed44	16777216	16777243	41b57b2939102b1beaf4219680d0ae8803db3c5682edddad2599602933fcad23	997722e967397dd90721ebf6e39eb475624473f13adea67765ee54aae4b373db	2	0.000	3.348	0.000	4779.115	0.000	0.077	0	9633792	557772800
